model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L14_model_24,14,4,2742,2742,L14/L14_model_24/z_checks.csv,L14/L14_model_24/x_checks.csv,2744,2744
L14_model_25,14,4,2742,2742,L14/L14_model_25/z_checks.csv,L14/L14_model_25/x_checks.csv,2744,2744
L14_model_26,14,4,2742,2742,L14/L14_model_26/z_checks.csv,L14/L14_model_26/x_checks.csv,2744,2744
L14_model_27,14,4,2742,2742,L14/L14_model_27/z_checks.csv,L14/L14_model_27/x_checks.csv,2744,2744
L14_model_28,14,4,2742,2742,L14/L14_model_28/z_checks.csv,L14/L14_model_28/x_checks.csv,2744,2744
L14_model_29,14,4,2742,2742,L14/L14_model_29/z_checks.csv,L14/L14_model_29/x_checks.csv,2744,2744
L14_model_30,14,4,2742,2742,L14/L14_model_30/z_checks.csv,L14/L14_model_30/x_checks.csv,2744,2744
L14_model_31,14,4,2742,2742,L14/L14_model_31/z_checks.csv,L14/L14_model_31/x_checks.csv,2744,2744
L14_model_32,14,4,2742,2742,L14/L14_model_32/z_checks.csv,L14/L14_model_32/x_checks.csv,2744,2744
L14_model_33,14,4,2742,2742,L14/L14_model_33/z_checks.csv,L14/L14_model_33/x_checks.csv,2744,2744
L14_model_34,14,4,2742,2742,L14/L14_model_34/z_checks.csv,L14/L14_model_34/x_checks.csv,2744,2744
